dataset,image_name,class_name,count,avg_confidence
baseline,036.jpg,grozi_10,11,0.7219
baseline,036.jpg,grozi_89,17,0.7017
baseline,036.jpg,grozi_118,2,0.8287
baseline,036.jpg,grozi_21,2,0.7384
baseline,036.jpg,grozi_30,2,0.6012
baseline,036.jpg,grozi_115,1,0.5755
baseline,036.jpg,grozi_82,1,0.4072
baseline,036.jpg,grozi_55,1,0.3356
baseline,037.jpg,grozi_37,38,0.9855
baseline,037.jpg,grozi_15,4,0.7734
baseline,037.jpg,grozi_68,1,0.3909
baseline,037.jpg,grozi_31,2,0.3017
baseline,037.jpg,grozi_89,1,0.253
baseline,038.jpg,grozi_37,19,0.7961
baseline,038.jpg,grozi_15,3,0.6341
baseline,038.jpg,grozi_68,19,0.6204
baseline,038.jpg,grozi_31,2,0.9253
baseline,038.jpg,grozi_11,3,0.7214
baseline,038.jpg,grozi_7,3,0.4372
baseline,038.jpg,grozi_19,1,0.4034
baseline,038.jpg,grozi_30,3,0.3182
baseline,039.jpg,grozi_7,1,0.4585
baseline,039.jpg,grozi_15,1,0.4303
baseline,039.jpg,grozi_31,3,0.3665
baseline,039.jpg,grozi_89,2,0.3722
baseline,039.jpg,grozi_30,3,0.2927
baseline,039.jpg,grozi_19,2,0.264
baseline,039.jpg,grozi_55,1,0.2617
baseline,040.jpg,grozi_15,8,0.4344
baseline,041.jpg,grozi_21,3,0.4971
baseline,041.jpg,grozi_118,3,0.7477
baseline,041.jpg,grozi_55,1,0.6787
baseline,041.jpg,grozi_82,2,0.4822
baseline,041.jpg,grozi_89,1,0.6143
baseline,041.jpg,grozi_10,1,0.4853
baseline,041.jpg,grozi_33,1,0.4385
baseline,042.jpg,grozi_68,6,0.5239
baseline,042.jpg,grozi_30,2,0.6335
baseline,042.jpg,grozi_89,5,0.5118
baseline,042.jpg,grozi_15,1,0.2592
baseline,043.jpg,grozi_21,2,0.8445
baseline,043.jpg,grozi_68,1,0.7062
baseline,043.jpg,grozi_10,2,0.4855
baseline,043.jpg,grozi_30,1,0.4836
baseline,043.jpg,grozi_118,1,0.3137
baseline,043.jpg,grozi_19,1,0.2596
baseline,044.jpg,grozi_21,5,0.7692
baseline,044.jpg,grozi_118,6,0.627
baseline,044.jpg,grozi_55,3,0.7475
baseline,044.jpg,grozi_89,5,0.6987
baseline,044.jpg,grozi_10,2,0.5501
baseline,044.jpg,grozi_82,1,0.2944
baseline,045.jpg,grozi_89,13,0.4769
baseline,045.jpg,grozi_10,2,0.8918
baseline,045.jpg,grozi_68,5,0.5352
baseline,045.jpg,grozi_55,2,0.4953
baseline,045.jpg,grozi_30,1,0.3537
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_37,18,0.8225
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_68,94,0.7298
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_30,5,0.7018
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_7,1,0.8334
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_15,1,0.7538
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_24,1,0.6192
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_50,1,0.6087
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_10,1,0.5619
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_62,2,0.413
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_19,2,0.3517
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,grozi_89,1,0.4311
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_37,37,0.8198
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_62,2,0.8609
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_68,126,0.748
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_10,1,0.8033
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_7,2,0.6472
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_30,5,0.6413
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_19,1,0.5284
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_37,36,0.8588
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_62,2,0.9092
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_68,120,0.72
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_7,6,0.493
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_30,4,0.6062
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_19,2,0.5532
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,grozi_94,1,0.4364
stress_test,002_aug1_perspective.jpg,grozi_55,2,0.734
stress_test,002_aug1_perspective.jpg,grozi_118,1,0.9869
stress_test,002_aug1_perspective.jpg,grozi_21,5,0.6485
stress_test,002_aug1_perspective.jpg,grozi_68,14,0.6394
stress_test,002_aug1_perspective.jpg,grozi_89,2,0.6
stress_test,002_aug1_perspective.jpg,grozi_10,2,0.5522
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_21,6,0.6931
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_118,7,0.6561
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_55,2,0.6457
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_68,40,0.6798
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_89,5,0.608
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_19,2,0.3566
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_82,2,0.3287
stress_test,002_aug3_light_0.87_-4.jpg,grozi_55,2,0.7532
stress_test,002_aug3_light_0.87_-4.jpg,grozi_118,6,0.6179
stress_test,002_aug3_light_0.87_-4.jpg,grozi_68,27,0.5622
stress_test,002_aug3_light_0.87_-4.jpg,grozi_21,4,0.4469
stress_test,002_aug3_light_0.87_-4.jpg,grozi_89,2,0.7726
stress_test,002_aug3_light_0.87_-4.jpg,grozi_82,3,0.4282
stress_test,002_aug3_light_0.87_-4.jpg,grozi_19,1,0.5517
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_37,9,0.7611
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_68,9,0.5887
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_21,3,0.5775
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_82,1,0.6738
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_94,1,0.565
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_15,1,0.5293
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_55,1,0.438
stress_test,003_aug1_blur_k5+perspective.jpg,grozi_89,2,0.3778
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_37,15,0.9565
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_31,6,0.7834
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_68,5,0.637
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_24,2,0.6786
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_15,2,0.6014
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_89,1,0.6252
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_113,1,0.4183
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_30,1,0.3476
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_82,1,0.3357
stress_test,003_aug3_blur_k3.jpg,grozi_37,7,0.9022
stress_test,003_aug3_blur_k3.jpg,grozi_31,1,0.9292
stress_test,003_aug3_blur_k3.jpg,grozi_68,1,0.5205
stress_test,003_aug3_blur_k3.jpg,grozi_82,2,0.347
stress_test,003_aug3_blur_k3.jpg,grozi_11,1,0.3637
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_10,4,0.863
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_21,4,0.6416
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_89,5,0.5853
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_7,1,0.8289
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_19,1,0.3508
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_82,1,0.3495
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_55,1,0.3084
stress_test,004_aug2_noise.jpg,grozi_10,5,0.6621
stress_test,004_aug2_noise.jpg,grozi_21,2,0.7377
stress_test,004_aug2_noise.jpg,grozi_89,1,0.7413
stress_test,004_aug2_noise.jpg,grozi_82,1,0.4628
stress_test,004_aug2_noise.jpg,grozi_55,1,0.4443
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_10,4,0.7448
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_21,2,0.6626
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_118,2,0.7399
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_55,1,0.7206
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_89,2,0.5048
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_82,1,0.3755
stress_test,005_aug1_blur_k7.jpg,grozi_37,4,0.3904
stress_test,005_aug1_blur_k7.jpg,grozi_68,7,0.4491
stress_test,005_aug1_blur_k7.jpg,grozi_31,1,0.4656
stress_test,005_aug1_blur_k7.jpg,grozi_30,4,0.3297
stress_test,005_aug1_blur_k7.jpg,grozi_19,1,0.3363
stress_test,005_aug1_blur_k7.jpg,grozi_15,1,0.2999
stress_test,005_aug2_light_1.20_-28+noise.jpg,grozi_68,10,0.4574
stress_test,005_aug2_light_1.20_-28+noise.jpg,grozi_37,2,0.3802
stress_test,005_aug2_light_1.20_-28+noise.jpg,grozi_30,4,0.361
stress_test,005_aug2_light_1.20_-28+noise.jpg,grozi_19,2,0.3239
stress_test,005_aug3_occlusion2+color_26_-13_23+light_1.22_20.jpg,grozi_37,1,0.5268
stress_test,005_aug3_occlusion2+color_26_-13_23+light_1.22_20.jpg,grozi_89,1,0.2664
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_7,5,0.8922
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_118,1,0.9372
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_37,3,0.6939
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_55,1,0.8846
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_30,3,0.8011
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_21,2,0.8157
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_29,1,0.6305
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_89,2,0.5105
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_96,1,0.4615
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,grozi_82,2,0.343
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_7,3,0.9146
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_118,3,0.8881
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_30,4,0.6537
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_21,1,0.9095
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_89,5,0.5106
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_55,1,0.7036
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_10,1,0.3086
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_82,1,0.2715
stress_test,006_aug3_perspective.jpg,grozi_7,8,0.8422
stress_test,006_aug3_perspective.jpg,grozi_21,4,0.574
stress_test,006_aug3_perspective.jpg,grozi_30,6,0.7261
stress_test,006_aug3_perspective.jpg,grozi_55,1,0.8902
stress_test,006_aug3_perspective.jpg,grozi_118,1,0.8874
stress_test,006_aug3_perspective.jpg,grozi_19,1,0.4785
stress_test,006_aug3_perspective.jpg,grozi_37,1,0.3608
stress_test,006_aug3_perspective.jpg,grozi_96,1,0.2945
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_37,21,0.8155
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_89,2,0.6475
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_62,1,0.9405
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_31,1,0.8944
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_30,1,0.8426
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_68,3,0.4567
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_94,1,0.3017
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,grozi_113,1,0.292
stress_test,007_aug2_color_28_26_24.jpg,grozi_37,12,0.9569
stress_test,007_aug2_color_28_26_24.jpg,grozi_89,3,0.5768
stress_test,007_aug2_color_28_26_24.jpg,grozi_7,1,0.8996
stress_test,007_aug2_color_28_26_24.jpg,grozi_10,1,0.872
stress_test,007_aug2_color_28_26_24.jpg,grozi_30,2,0.6621
stress_test,007_aug2_color_28_26_24.jpg,grozi_11,1,0.8207
stress_test,007_aug2_color_28_26_24.jpg,grozi_68,14,0.5415
stress_test,007_aug2_color_28_26_24.jpg,grozi_31,2,0.4102
stress_test,007_aug2_color_28_26_24.jpg,grozi_24,1,0.2716
stress_test,007_aug3_noise.jpg,grozi_37,18,0.9002
stress_test,007_aug3_noise.jpg,grozi_89,3,0.5925
stress_test,007_aug3_noise.jpg,grozi_11,1,0.9364
stress_test,007_aug3_noise.jpg,grozi_62,1,0.8697
stress_test,007_aug3_noise.jpg,grozi_68,8,0.4773
stress_test,007_aug3_noise.jpg,grozi_30,2,0.4342
stress_test,007_aug3_noise.jpg,grozi_31,1,0.3812
stress_test,007_aug3_noise.jpg,grozi_24,1,0.3128
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_21,2,0.6171
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_10,1,0.5894
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_102,1,0.5726
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_82,1,0.4061
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_19,1,0.403
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_55,1,0.3683
stress_test,008_aug2_perspective.jpg,grozi_21,3,0.5093
stress_test,008_aug2_perspective.jpg,grozi_10,2,0.5553
stress_test,008_aug2_perspective.jpg,grozi_55,1,0.4859
stress_test,008_aug2_perspective.jpg,grozi_102,1,0.4149
stress_test,008_aug2_perspective.jpg,grozi_82,1,0.3565
stress_test,008_aug3_blur_k5+occlusion1.jpg,grozi_21,2,0.48
stress_test,008_aug3_blur_k5+occlusion1.jpg,grozi_102,1,0.4925
stress_test,008_aug3_blur_k5+occlusion1.jpg,grozi_10,1,0.4915
stress_test,008_aug3_blur_k5+occlusion1.jpg,grozi_19,1,0.2578
stress_test,009_aug1_occlusion3+noise.jpg,grozi_21,4,0.8796
stress_test,009_aug1_occlusion3+noise.jpg,grozi_33,2,0.689
stress_test,009_aug1_occlusion3+noise.jpg,grozi_68,3,0.6311
stress_test,009_aug1_occlusion3+noise.jpg,grozi_118,1,0.4889
stress_test,009_aug1_occlusion3+noise.jpg,grozi_55,1,0.371
stress_test,009_aug1_occlusion3+noise.jpg,grozi_19,2,0.2576
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_21,4,0.8046
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_118,5,0.6101
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_68,5,0.4997
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_55,2,0.6397
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_89,4,0.4119
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_19,2,0.3718
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_30,1,0.3579
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_21,4,0.7782
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_68,6,0.8181
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_118,3,0.6538
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_55,1,0.6704
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_33,2,0.4757
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_19,1,0.5002
